title,popularity,favorites,studios,studios_name
Kidou Senshi Zeta Gundam,0.0862230239861027,0.0108282841150664,1635,Sunrise
Kidou Senshi Gundam ZZ,0.1179929177523885,0.0008877600579631,1635,Sunrise
Kidou Senshi Gundam: Gyakushuu no Char,0.1089730740963453,0.0024522878731179,1635,Sunrise
Kidou Senshi Gundam F91,0.139573728870181,0.0003622697994378,1635,Sunrise
Kidou Senshi Victory Gundam,0.150397541257433,0.0006807487439986,1635,Sunrise
Shin Kidou Senki Gundam Wing,0.0535845526825683,0.0098688662945771,1635,Sunrise
Shin Kidou Senki Gundam Wing: Endless Waltz,0.1174250016703414,0.0007205586120687,1635,Sunrise
Kidou Shinseiki Gundam X,0.1347965524153137,0.0009793227545243,1635,Sunrise
Kidou Senshi Gundam SEED,0.0496759537649495,0.0149167575658654,1635,Sunrise
Kidou Senshi Gundam SEED Destiny,0.0719249014498563,0.0046139637093242,1635,Sunrise
Turn A Gundam,0.1126144183871183,0.0050200243636392,1635,Sunrise
Kidou Butouden G Gundam,0.0946081379033874,0.004538324959991,1635,Sunrise
Last Exile,0.0491080376829023,0.007794772168125,541,Gonzo
Mai-HiME,0.0695530166366005,0.0045940587752892,1635,Sunrise
Mai-Otome,0.1145854212601055,0.001250029857401,1635,Sunrise
Shin Shirayuki-hime Densetsu Prétear,0.1001536714104363,0.0018631018256805,589,HAL Film Maker
Air,0.0300661455201443,0.0110074285213818,787,Kyoto Animation
Aishiteruze Baby★★,0.0757666867107636,0.0022452765591534,1679,TMS Entertainment
Akazukin Chacha,0.191320905993185,0.000445870522385,517,Gallop
Ayashi no Ceres,0.1023251152535578,0.0019825314298908,1574,Studio Pierrot
Boys Be...,0.1665998530099552,0.0001950683535434,589,HAL Film Maker
Hana yori Dango,0.1017237923431549,0.0033480099046951,1751,Toei Animation
Ou Dorobou Jing,0.1352642480122937,0.000847950189893,1467,Studio Deen
Ou Dorobou Jing in Seventh Heaven,0.212834903454266,0.0001074866437892,1467,Studio Deen
Bakuretsu Tenshi,0.0942406627914745,0.0009633988072963,541,Gonzo
Chuuka Ichiban!,0.1783590565911672,0.0004976233508762,981,Nippon Animation
